จังหวัด,เบาหวาน
กรุงเทพมหานคร,27793
สมุทรปราการ,37687
นนทบุรี,44958
ปทุมธานี,32155
พระนครศรีอยุธยา,37942
อ่างทอง,16279
ลพบุรี,31685
สิงห์บุรี,13016
ชัยนาท,16489
สระบุรี,28829
ชลบุรี,45402
ระยอง,23483
จันทบุรี,21281
ตราด,7761
ฉะเชิงเทรา,29121
ปราจีนบุรี,20100
นครนายก,12368
สระแก้ว,18236
นครราชสีมา,106293
บุรีรัมย์,53239
สุรินทร์,42446
ศรีสะเกษ,41555
อุบลราชธานี,67678
ยโสธร,20848
ชัยภูมิ,47940
อำนาจเจริญ,14530
บึงกาฬ,14798
หนองบัวลำภู,20517
ขอนแก่น,81726
อุดรธานี,63623
เลย,28936
หนองคาย,20971
มหาสารคาม,40792
ร้อยเอ็ด,52515
กาฬสินธุ์,42008
สกลนคร,44481
นครพนม,24769
มุกดาหาร,10852
เชียงใหม่,68879
ลำพูน,20643
ลำปาง,36891
อุตรดิตถ์,21194
แพร่,23174
น่าน,19356
พะเยา,20652
เชียงราย,48257
แม่ฮ่องสอน,4351
นครสวรรค์,44878
อุทัยธานี,13377
กำแพงเพชร,24975
ตาก,14216
สุโขทัย,24995
พิษณุโลก,42205
พิจิตร,24396
เพชรบูรณ์,39910
ราชบุรี,38407
กาญจนบุรี,28812
สุพรรณบุรี,40561
นครปฐม,38369
สมุทรสาคร,25749
สมุทรสงคราม,9211
เพชรบุรี,17889
ประจวบคีรีขันธ์,18466
นครศรีธรรมราช,57326
กระบี่,14363
พังงา,10495
ภูเก็ต,9461
สุราษฎร์ธานี,34461
ระนอง,5009
ชุมพร,17358
สงขลา,46374
สตูล,8190
ตรัง,22119
พัทลุง,20632
ปัตตานี,13774
ยะลา,10278
นราธิวาส,15151
