จังหวัด,หัวใจ
กรุงเทพมหานคร,18901
สมุทรปราการ,1559
นนทบุรี,8043
ปทุมธานี,1088
พระนครศรีอยุธยา,4589
อ่างทอง,4004
ลพบุรี,2407
สิงห์บุรี,1733
ชัยนาท,361
สระบุรี,5511
ชลบุรี,5594
ระยอง,2846
จันทบุรี,5022
ตราด,313
ฉะเชิงเทรา,900
ปราจีนบุรี,814
นครนายก,2155
สระแก้ว,726
นครราชสีมา,16383
บุรีรัมย์,2078
สุรินทร์,3767
ศรีสะเกษ,944
อุบลราชธานี,4566
ยโสธร,1282
ชัยภูมิ,1195
อำนาจเจริญ,1084
บึงกาฬ,258
หนองบัวลำภู,987
ขอนแก่น,9495
อุดรธานี,10062
เลย,93
หนองคาย,309
มหาสารคาม,3779
ร้อยเอ็ด,3852
กาฬสินธุ์,2042
สกลนคร,5115
นครพนม,1016
มุกดาหาร,271
เชียงใหม่,2923
ลำพูน,1627
ลำปาง,5120
อุตรดิตถ์,1528
แพร่,3078
น่าน,1385
พะเยา,3375
เชียงราย,3112
แม่ฮ่องสอน,482
นครสวรรค์,2608
อุทัยธานี,921
กำแพงเพชร,1228
ตาก,1249
สุโขทัย,1688
พิษณุโลก,3408
พิจิตร,1010
เพชรบูรณ์,3973
ราชบุรี,2306
กาญจนบุรี,950
สุพรรณบุรี,3603
นครปฐม,3910
สมุทรสาคร,3503
สมุทรสงคราม,1012
เพชรบุรี,562
ประจวบคีรีขันธ์,2660
นครศรีธรรมราช,4297
กระบี่,930
พังงา,830
ภูเก็ต,177
สุราษฎร์ธานี,1886
ระนอง,351
ชุมพร,2886
สงขลา,2810
สตูล,246
ตรัง,137
พัทลุง,3518
ปัตตานี,903
ยะลา,919
นราธิวาส,912
