จังหวัด,ดัน
กรุงเทพมหานคร,50874
สมุทรปราการ,73396
นนทบุรี,90475
ปทุมธานี,63391
พระนครศรีอยุธยา,79217
อ่างทอง,33104
ลพบุรี,68165
สิงห์บุรี,28816
ชัยนาท,38242
สระบุรี,61375
ชลบุรี,92235
ระยอง,49171
จันทบุรี,48711
ตราด,19072
ฉะเชิงเทรา,60001
ปราจีนบุรี,44502
นครนายก,26126
สระแก้ว,39644
นครราชสีมา,223785
บุรีรัมย์,109429
สุรินทร์,90099
ศรีสะเกษ,90154
อุบลราชธานี,121663
ยโสธร,34504
ชัยภูมิ,87695
อำนาจเจริญ,25651
บึงกาฬ,24846
หนองบัวลำภู,31614
ขอนแก่น,139000
อุดรธานี,101936
เลย,54342
หนองคาย,35318
มหาสารคาม,64846
ร้อยเอ็ด,94579
กาฬสินธุ์,66442
สกลนคร,73059
นครพนม,40061
มุกดาหาร,20037
เชียงใหม่,171099
ลำพูน,54225
ลำปาง,89222
อุตรดิตถ์,53577
แพร่,57752
น่าน,51726
พะเยา,51693
เชียงราย,124049
แม่ฮ่องสอน,14619
นครสวรรค์,109262
อุทัยธานี,33842
กำแพงเพชร,63619
ตาก,42189
สุโขทัย,66925
พิษณุโลก,90110
พิจิตร,59869
เพชรบูรณ์,86930
ราชบุรี,87429
กาญจนบุรี,68495
สุพรรณบุรี,87791
นครปฐม,79090
สมุทรสาคร,47735
สมุทรสงคราม,22617
เพชรบุรี,43936
ประจวบคีรีขันธ์,43661
นครศรีธรรมราช,135724
กระบี่,29626
พังงา,25147
ภูเก็ต,19089
สุราษฎร์ธานี,80945
ระนอง,13775
ชุมพร,46065
สงขลา,111448
สตูล,21253
ตรัง,55305
พัทลุง,49912
ปัตตานี,37638
ยะลา,27665
นราธิวาส,44378
